Model,Accuracy,Precision,Recall,F1-Score,Loss
decision_tree_model_ML(3).pkl,0.45874587458745875,1.0,0.006060606060606061,0.012048192771084336,13.532727315932227
knn_model_ML.pkl,0.8811881188118812,0.9056603773584906,0.8727272727272727,0.8888888888888888,0.27422965350229817
logistic_regression_model_ML.pkl,0.858085808580858,0.8465909090909091,0.9030303030303031,0.8739002932551321,0.35454904550089317
random_forest_model_ML(3).pkl,0.45874587458745875,1.0,0.006060606060606061,0.012048192771084336,0.6828554296785696
svm_model_ML(2).pkl,0.7194719471947195,0.7298850574712644,0.7696969696969697,0.7492625368731564,0.5804169979255039
xgboost_model_ML(3).json,0.6237623762376238,0.8923076923076924,0.3515151515151515,0.5043478260869566,0.6155194022844479
