Model,Accuracy,Precision,Recall,F1-Score,Loss
decision_tree_model_ML(2).pkl,0.45874587458745875,1.0,0.006060606060606061,0.012048192771084336,0.877725
knn_model_ML.pkl,0.834146,0.8,0.893204,0.844037,0.16585
logistic_regression_model_ML.pkl,0.795122,0.756303,0.873786,0.810811,0.204878
random_forest_model_ML(3).pkl,0.45874587458745875,1.0,0.006060606060606061,0.012048192771084336,0.30719
svm_model_ML.pkl,0.682927,0.661017,0.757282,0.705882,0.317073
xgboost_model_ML(3).json,0.858537,0.8923076923076924,0.3515151515151515,0.5043478260869566,0.278201
