Model,Test_Dataset,Accuracy,F1_Score,AUC,Precision,Recall
CDD_SVM,UCI,0.5131707317073171,0.6782720825274017,0.5,0.5131707317073171,1.0
CDD_LG,UCI,0.5131707317073171,0.6782720825274017,0.5,0.5131707317073171,1.0
CDD_XGB,UCI,0.5307317073170732,0.6743398781313472,0.22252680265473915,0.5236593059936908,0.9467680608365019
UCI_SVM,CDD,0.612,0.6584507042253521,0.6152647783251232,0.6726618705035972,0.6448275862068965
UCI_LG,CDD,0.603,0.63544536271809,0.6385344827586206,0.6797642436149313,0.596551724137931
UCI_XGB,CDD,0.421,0.22281879194630871,0.46149220032840726,0.503030303030303,0.14310344827586208
