Model,Test_Dataset,Accuracy,F1_Score,AUC,Precision,Recall
CDD_SVM,UCI,0.5445544554455446,0.7051282051282052,0.5,0.5445544554455446,1.0
CDD_LG,UCI,0.5445544554455446,0.7051282051282052,0.5,0.5445544554455446,1.0
CDD_XGB,UCI,0.5544554455445545,0.6979865771812082,0.22064119455423803,0.5531914893617021,0.9454545454545454
UCI_SVM,CDD,0.612,0.6584507042253521,0.6152647783251232,0.6726618705035972,0.6448275862068965
UCI_LG,CDD,0.603,0.63544536271809,0.6385344827586206,0.6797642436149313,0.596551724137931
UCI_XGB,CDD,0.421,0.22281879194630871,0.46149220032840726,0.503030303030303,0.14310344827586208
