Model,Accuracy,Precision,Recall,F1-Score,Loss
random_forest_model_CDD(CV).pkl,0.974,0.9726962457337884,0.9827586206896551,0.9777015437392795,0.11790687508394111
svm_model_CDD(CV).pkl,0.981,0.9929701230228472,0.9741379310344828,0.9834638816362055,0.05686926790925007
xgboost_model_CDD(have_CV(1)).json,0.723,0.9967213114754099,0.5241379310344828,0.6870056497175141,0.612977899993961
random_forest_model_CDD(no_CV).pkl,0.976,0.9776632302405498,0.9810344827586207,0.9793459552495698,0.12933636582245386
svm_model_CDD(No_CV).pkl,0.58,0.58,1.0,0.7341772151898733,0.6833158904874532
xgboost_model_CDD(no_CV(1)).json,0.926,0.9903100775193798,0.8810344827586207,0.9324817518248175,0.18860201013120156
