Model,Accuracy,Precision,Recall,F1-Score,Loss
decision_tree_model_ML(300(1)).pkl,0.45544554455445546,0.0,0.0,0.0,6.419273939831577
knn_model_ML(300(1)).pkl,0.5445544554455446,0.5445544554455446,1.0,0.7051282051282052,0.7500082722607421
logistic_regression_model_ML(300).pkl,0.8712871287128713,0.8579545454545454,0.9151515151515152,0.8856304985337243,0.3520969952551602
random_forest_model_UCI(300(1)).pkl,0.6633663366336634,0.8539325842696629,0.46060606060606063,0.5984251968503937,0.6293879907043732
svm_model_UCI(300).pkl,0.7161716171617162,0.7135135135135136,0.8,0.7542857142857143,0.582592582979116
xgboost_model_ML(300_UCI).json,0.7392739273927392,0.8467741935483871,0.6363636363636364,0.7266435986159169,0.469383454763277
