Model,Test_Dataset,Accuracy,F1_Score,AUC,Precision,Recall
CDD_SVM,UCI,0.5131707317073171,0.6782720825274017,0.5,0.5131707317073171,1.0
CDD_RF,UCI,0.5131707317073171,0.6782720825274017,0.5743959401693121,0.5131707317073171,1.0
CDD_XGB,UCI,0.5307317073170732,0.6743398781313472,0.22252680265473915,0.5236593059936908,0.9467680608365019
UCI_SVM,CDD,0.612,0.6584507042253521,0.6152647783251232,0.6726618705035972,0.6448275862068965
UCI_RF,CDD,0.447,0.18074074074074073,0.7059708538587849,0.6421052631578947,0.10517241379310345
UCI_XGB,CDD,0.421,0.22281879194630871,0.46149220032840726,0.503030303030303,0.14310344827586208
