Model,Accuracy,Precision,Recall,F1-Score,Loss
random_forest_model_UCI(CV).pkl,0.45874587458745875,1.0,0.006060606060606061,0.012048192771084336,0.6828554296785696
random_forest_model_ML(3).pkl,0.45874587458745875,1.0,0.006060606060606061,0.012048192771084336,0.6828554296785696
svm_model_UCI(CV).pkl,0.5445544554455446,0.5445544554455446,1.0,0.7051282051282052,0.6910287782184753
svm_model_ML.pkl,0.7194719471947195,0.7298850574712644,0.7696969696969697,0.7492625368731564,10.111255901237486
xgboost_model_UCI(have_CV(1)).json,0.7293729372937293,0.9278350515463918,0.5454545454545454,0.6870229007633587,0.5797398118055092
xgboost_model_ML(3).json,0.6237623762376238,0.8923076923076924,0.3515151515151515,0.5043478260869566,0.6155194022844479
