Model,Test_Dataset,Accuracy,F1_Score,AUC,Precision,Recall
CDD_SVM,UCI,0.5131707317073171,0.6782720825274017,0.5,0.5131707317073171,1.0
CDD_RF,UCI,0.5131707317073171,0.6782720825274017,0.5743959401693121,0.5131707317073171,1.0
CDD_XGB,UCI,0.5307317073170732,0.6743398781313472,0.22252680265473915,0.5236593059936908,0.9467680608365019
UCI_SVM,CDD,0.493,0.46799580272822666,0.566873973727422,0.5978552278820375,0.38448275862068965
UCI_RF,CDD,0.71,0.7304832713754646,0.8219889162561577,0.7923387096774194,0.6775862068965517
UCI_XGB,CDD,0.385,0.31590656284760843,0.5622967980295567,0.445141065830721,0.24482758620689654
